country,date,decklist,event,format,hero,result,deck_link,event_type,deck_id
Spain,05 Jul 2025,"Alvaro Francisco Toledano Benito – Dash, Inventor Extraordinaire – National Championship 2025 – Spain",Spain National Championship 2025,Classic Constructed,"Dash, Inventor Extraordinaire",not informed,https://fabtcg.com/decklists/alvaro-francisco-toledano-benito-dash-inventor-extraordinaire-national-championship-2025-spain-3/ ,national,9f008ddc74f29d76a5d5c62081dba55c_AFTB–DIE–NC2–Spain
Sweden,05 Jul 2025,"Niklas Bengtsson – Cindra, Dracai of Retribution – National Championship 2025 – Sweden",Sweden National Championship 2025,Classic Constructed,"Cindra, Dracai of Retribution",1st,https://fabtcg.com/decklists/niklas-bengtsson-cindra-dracai-of-retribution-sweden-national-championship/ ,national,8568aa80f3bf2ac527d383e683a58928_NB–CDoR–NC2–Sweden1st
Sweden,05 Jul 2025,"Niklas Bengtsson – Cindra, Dracai of Retribution – National Championship 2025 – Sweden",Sweden National Championship 2025,Classic Constructed,"Cindra, Dracai of Retribution",not informed,https://fabtcg.com/decklists/niklas-bengtsson-cindra-dracai-of-retribution-national-championship-2025-sweden-2/ ,national,bc12fecb3a1d3aca98c9fe8af9f8be95_NB–CDoR–NC2–Sweden
Sweden,05 Jul 2025,"Niklas Bengtsson – Cindra, Dracai of Retribution – National Championship 2025 – Sweden",Sweden National Championship 2025,Classic Constructed,"Cindra, Dracai of Retribution",not informed,https://fabtcg.com/decklists/niklas-bengtsson-cindra-dracai-of-retribution-national-championship-2025-sweden-3/ ,national,3533560dd6410a8fc6a773314c27c282_NB–CDoR–NC2–Sweden
Sweden,05 Jul 2025,"Niklas Bengtsson – Cindra, Dracai of Retribution – National Championship 2025 – Sweden",,Classic Constructed,"Cindra, Dracai of Retribution",not informed,https://fabtcg.com/decklists/niklas-bengtsson-cindra-dracai-of-retribution-national-championship-2025-sweden/ ,other,77fbe0fbdfb351d8f1d786298a922828_NB–CDoR–NC2–Sweden
Norway,05 Jul 2025,"Steffen Bergo Jenssen – Oscilio, Constella Intelligence – National Championship 2025 – Norway",,Classic Constructed,"Oscilio, Constella Intelligence",not informed,https://fabtcg.com/decklists/steffen-bergo-jenssen-oscilio-constella-intelligence-national-championship-2025-norway/ ,other,298675eb294e6eee71c0ded3148e82ac_SBJ–OCI–NC2–Norway
Hungary,05 Jul 2025,"Ádám Mészáros – Florian, Rotwood Harbinger – National Championship 2025 – Hungary",,Classic Constructed,"Florian, Rotwood Harbinger",not informed,https://fabtcg.com/decklists/adam-meszaros-florian-rotwood-harbinger-national-championship-2025-hungary/ ,other,3d36b29dbd03d9141529d3100bce9bb5_ÁM–FRH–NC2–Hungary
Spain,05 Jul 2025,"Alvaro Francisco Toledano Benito – Dash, Inventor Extraordinaire – National Championship 2025 – Spain",,Classic Constructed,"Dash, Inventor Extraordinaire",not informed,https://fabtcg.com/decklists/alvaro-francisco-toledano-benito-dash-inventor-extraordinaire-national-championship-2025-spain/ ,other,50f9b288ffdbd4ecee3dabb6ad26b919_AFTB–DIE–NC2–Spain
Australia,05 Jul 2025,Justin Lim – Kassai of the Golden Sand – National Championship 2025 – Australia,,Classic Constructed,Kassai of the Golden Sand,not informed,https://fabtcg.com/decklists/justin-lim-kassai-of-the-golden-sand-national-championship-2025-australia/ ,other,a970b54f5ac17418443808ab99077187_JL–KotGS–NC2–Australia
Philippines,05 Jul 2025,"Joniel Ibasco – Azalea, Ace in the Hole – National Championship 2025 – Philippines",,Classic Constructed,"Azalea, Ace in the Hole",not informed,https://fabtcg.com/decklists/joniel-ibasco-azalea-ace-in-the-hole-national-championship-2025-philippines/ ,other,e0ef44d3123829d398dd4d8a8ee9f82e_JI–AAitH–NC2–Philippines
Mexico,05 Jul 2025,"Osmar Bravo – Arakni, 5L!p3d 7hRu 7h3 cR4X – National Championship 2025 – Mexico",,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",not informed,https://fabtcg.com/decklists/osmar-bravo-arakni-5lp3d-7hru-7h3-cr4x-national-championship-2025-mexico/ ,other,17cbb51f6907fa13ecad194fb23d0752_OB–A577c–NC2–Mexico
Italy,05 Jul 2025,"Filippo Barbani – Victor Goldmane, High and Mighty – National Championship 2025 – Italy",,Classic Constructed,"Victor Goldmane, High and Mighty",not informed,https://fabtcg.com/decklists/filippo-barbani-victor-goldmane-high-and-mighty-national-championship-2025-italy/ ,other,a5a9681e0ad99f0d294bac8c5dc15460_FB–VGHaM–NC2–Italy
Latvia,05 Jul 2025,"Aleksejs Titovs – Levia, Shadowborn Abomination – National Championship 2025 – Latvia",,Classic Constructed,"Levia, Shadowborn Abomination",not informed,https://fabtcg.com/decklists/aleksejs-titovs-levia-shadowborn-abomination-national-championship-2025-latvia/ ,other,a726a3747c163290920e2fb9c275ea7f_AT–LSA–NC2–Latvia
Estonia,05 Jul 2025,"Nikita Laasmaa – Prism, Awakener of Sol – National Championship 2025 – Estonia",,Classic Constructed,"Prism, Awakener of Sol",not informed,https://fabtcg.com/decklists/nikita-laasmaa-prism-awakener-of-sol-national-championship-2025-estonia/ ,other,e3a8854b8b0628ab85cd93abee971daf_NL–PAoS–NC2–Estonia
Austria,05 Jul 2025,"Florin-Cristian Loghin – Arakni, 5L!p3d 7hRu 7h3 cR4X – National Championship 2025 – Austria",,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",not informed,https://fabtcg.com/decklists/florin-cristian-loghin-arakni-5lp3d-7hru-7h3-cr4x-national-championship-2025-austria/ ,other,801a6235ac10d2cedfb939962a4699f2_FL–A577c–NC2–Austria
Poland,05 Jul 2025,"Wojtek Klimczyk – Verdance, Thorn of the Rose – National Championship 2025 – Poland",,Classic Constructed,"Verdance, Thorn of the Rose",not informed,https://fabtcg.com/decklists/wojtek-klimczyk-verdance-thorn-of-the-rose-national-championship-2025-poland/ ,other,61b6c62579dd90c258658c2aeb70d06e_WK–VTotR–NC2–Poland
South Korea,05 Jul 2025,창건 곽 – Dash I/O – National Championship 2025 – South Korea,,Classic Constructed,Dash I/O,not informed,https://fabtcg.com/decklists/%ec%b0%bd%ea%b1%b4-%ea%b3%bd-dash-i-o-national-championship-2025-south-korea/ ,other,8003b094896684dc01dd100793132917_창곽–DI–NC2–SKorea
,03 Jul 2025,"Armory Deck – Ira, Scarlet Revenger",,Classic Constructed,"Ira, Scarlet Revenger",not informed,https://fabtcg.com/decklists/armory-deck-ira-scarlet-revenger/ ,other,e8994f585a9ae64c37e1d2ed51b88d2d_AD–ISRevenger
Belgium,29 Jun 2025,"Joris Verhelst – Kano, Dracai of Aether – National Championship 2025 – Belgium",Belgium National Championship 2025,Classic Constructed,"Kano, Dracai of Aether",1st,https://fabtcg.com/decklists/joris-verhelst-kano-dracai-of-aether-belgium-national-championship/ ,national,36a0f74a9c36002a5c1aa15d674c1555_JV–KDoA–NC2–Belgium1st
Brazil,29 Jun 2025,"Raphael Barrese – Prism, Awakener of Sol – National Championship 2025 – Brazil",Brazil National Championship 2025,Classic Constructed,"Prism, Awakener of Sol",1st,https://fabtcg.com/decklists/raphael-barrese-prism-awakener-of-sol-brazil-national-championship/ ,national,8e8da49a8431f705752b4267cb128b49_RB–PAoS–NC2–Brazil1st
Bulgaria,29 Jun 2025,"Antoan Yordanov – Vynnset, Iron Maiden – National Championship 2025 – Bulgaria",Bulgaria National Championship 2025,Classic Constructed,"Vynnset, Iron Maiden",1st,https://fabtcg.com/decklists/antoan-yordanov-vynnset-iron-maiden-bulgaria-national-championship/ ,national,67d868e16b87f442e9c64bc540a4d6d9_AY–VIM–NC2–Bulgaria1st
Croatia,29 Jun 2025,"Nikola Kramarić – Prism, Awakener of Sol – National Championship 2025 – Croatia",Croatia National Championship 2025,Classic Constructed,"Prism, Awakener of Sol",1st,https://fabtcg.com/decklists/nikola-kramaric-prism-awakener-of-sol-croatia-national-championship/ ,national,5d16646b1690926807178da6218bd0e8_NK–PAoS–NC2–Croatia1st
Cyprus,29 Jun 2025,"Giannis Koumidis – Arakni, 5L!p3d 7hRu 7h3 cR4X – National Championship 2025 – Cyprus",Cyprus National Championship 2025,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",1st,https://fabtcg.com/decklists/giannis-koumidis-arakni-5lp3d-7hru-7h3-cr4x-cyprus-national-championship/ ,national,9ca48b490d67fc609604f1c34af38d52_GK–A577c–NC2–Cyprus1st
France,29 Jun 2025,"Arthur Trehet – Gravy Bones, Shipwrecked Looter – National Championship 2025 – France",France National Championship 2025,Classic Constructed,"Gravy Bones, Shipwrecked Looter",1st,https://fabtcg.com/decklists/arthur-trehet-gravy-bones-shipwrecked-looter-france-national-championship/ ,national,a52858acd537cdda73127d744bf8f8ea_AT–GBSL–NC2–France1st
Indonesia,29 Jun 2025,"Odi Winata – Arakni, 5L!p3d 7hRu 7h3 cR4X – National Championship 2025 – Indonesia",Indonesia National Championship 2025,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",1st,https://fabtcg.com/decklists/odi-winata-arakni-5lp3d-7hru-7h3-cr4x-indonesia-national-championship/ ,national,22d4f8c166de3ff5323be7163401fd1d_OW–A577c–NC2–Indonesia1st
Lithuania,29 Jun 2025,"Vladislovas Kofyrinas – Verdance, Thorn of the Rose – National Championship 2025 – Lithuania",Lithuania National Championship 2025,Classic Constructed,"Verdance, Thorn of the Rose",1st,https://fabtcg.com/decklists/vladislovas-kofyrinas-verdance-thorn-of-the-rose-lithuania-national-championship/ ,national,e3ec1a795d237e05c0c661d6cedd9a10_VK–VTotR–NC2–Lithuania1st
Netherlands,29 Jun 2025,Ian Zhang – Dash I/O – National Championship 2025 – Netherlands,Netherlands National Championship 2025,Classic Constructed,Dash I/O,1st,https://fabtcg.com/decklists/ian-zhang-dash-io-netherlands-national-championship/ ,national,df341deae1fda74cd0a61f5a42726fe1_IZ–DI–NC2–Netherlands1st
New Zealand,29 Jun 2025,"Oliver Berry – Gravy Bones, Shipwrecked Looter – National Championship 2025 – New Zealand",New Zealand National Championship 2025,Classic Constructed,"Gravy Bones, Shipwrecked Looter",1st,https://fabtcg.com/decklists/oliver-berry-gravy-bones-shipwrecked-looter-new-zealand-national-championship/ ,national,cc648de2757017ec911fe6ebb8571087_OB–GBSL–NC2–NZealand1st
Singapore,29 Jun 2025,"Brandon Peh – Arakni, 5L!p3d 7hRu 7h3 cR4X – National Championship 2025 – Singapore",Singapore National Championship 2025,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",1st,https://fabtcg.com/decklists/brandon-peh-arakni-5lp3d-7hru-7h3-cr4x-singapore-national-championship/ ,national,21453fc3b8b51b10a8a190dc6388ace6_BP–A577c–NC2–Singapore1st
United Kingdom,29 Jun 2025,"Aaron Boyhan – Gravy Bones, Shipwrecked Looter – National Championship 2025 – United Kingdom",United Kingdom National Championship 2025,Classic Constructed,"Gravy Bones, Shipwrecked Looter",1st,https://fabtcg.com/decklists/aaron-boyhan-gravy-bones-shipwrecked-looter-united-kingdom-national-championship/ ,national,469653545725dfc6843ef8add43daeb2_AB–GBSL–NC2–UKingdom1st
Vietnam,29 Jun 2025,"Nguyen Tuan Anh – Katsu, the Wanderer – National Championship 2025 – Vietnam",Vietnam National Championship 2025,Classic Constructed,"Katsu, the Wanderer",1st,https://fabtcg.com/decklists/nguyen-tuan-anh-katsu-the-wanderer-vietnam-national-championship/ ,national,00e7e87c23b646c734d987f2af95f6d1_NTA–KtW–NC2–Vietnam1st
United States of America,28 Jun 2025,"Michael Hamilton – Gravy Bones, Shipwrecked Looter – Battle Hardened Houston June 2025",Battle Hardened: Houston,Classic Constructed,"Gravy Bones, Shipwrecked Looter",1st,https://fabtcg.com/decklists/michael-hamilton-gravy-bones-shipwrecked-looter-battle-hardened-houston/ ,battle hardened,c41a914faba407ce1a3243a1cd65b744_MH–GBSL–BHHJ20251st
United States of America,28 Jun 2025,"Michael Feng – Gravy Bones, Shipwrecked Looter – Battle Hardened Houston June 2025",Battle Hardened: Houston,Classic Constructed,"Gravy Bones, Shipwrecked Looter",2nd,https://fabtcg.com/decklists/michael-feng-gravy-bones-shipwrecked-looter-battle-hardened-houston/ ,battle hardened,02d205bbcecca8d80dff0fa7a418c399_MF–GBSL–BHHJ20252nd
United States of America,28 Jun 2025,"Niels Kornerup – Verdance, Thorn of the Rose – Battle Hardened Houston June 2025",Battle Hardened: Houston,Classic Constructed,"Verdance, Thorn of the Rose",3rd,https://fabtcg.com/decklists/niels-kornerup-verdance-thorn-of-the-rose-battle-hardened-houston/ ,battle hardened,96bab7354e290f803796fce947fbac7f_NK–VTotR–BHHJ20253rd
United States of America,28 Jun 2025,"Bird Cabrera – Cindra, Dracai of Retribution – Battle Hardened Houston June 2025",Battle Hardened: Houston,Classic Constructed,"Cindra, Dracai of Retribution",3rd,https://fabtcg.com/decklists/bird-cabrera-cindra-dracai-of-retribution-battle-hardened-houston/ ,battle hardened,3af8cb35cd3e46a8fd80610e49a25aa1_BC–CDoR–BHHJ20253rd
United States of America,28 Jun 2025,Michael Ramsey – Kassai of the Golden Sand – Battle Hardened Houston June 2025,Battle Hardened: Houston,Classic Constructed,Kassai of the Golden Sand,5th,https://fabtcg.com/decklists/michael-ramsey-kassai-of-the-golden-sand-battle-hardened-houston/ ,battle hardened,643a83c9ac01d1bb348fff0e362299e3_MR–KotGS–BHHJ20255th
United States of America,28 Jun 2025,"Robert Ramsey – Arakni, 5L!p3d 7hRu 7h3 cR4X – Battle Hardened Houston June 2025",Battle Hardened: Houston,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",5th,https://fabtcg.com/decklists/robert-ramsey-arakni-5lp3d-7hru-7h3-cr4x-battle-hardened-houston/ ,battle hardened,024f91558955dd81aa48a77ccc42a2f4_RR–A577c–BHHJ20255th
United States of America,28 Jun 2025,"Dave Cordeiro – Arakni, 5L!p3d 7hRu 7h3 cR4X – Battle Hardened Houston June 2025",Battle Hardened: Houston,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",5th,https://fabtcg.com/decklists/dave-cordeiro-arakni-5lp3d-7hru-7h3-cr4x-battle-hardened-houston/ ,battle hardened,12393f874b2c3b0253a7a0b4c705d75e_DC–A577c–BHHJ20255th
United States of America,28 Jun 2025,"Illuvial Arnett – Fang, Dracai of Blades – Battle Hardened Houston June 2025",Battle Hardened: Houston,Classic Constructed,"Fang, Dracai of Blades",5th,https://fabtcg.com/decklists/illuvial-arnett-fang-dracai-of-blades-battle-hardened-houston/ ,battle hardened,87430de8ac01d462cc5fdfcda5707c82_IA–FDoB–BHHJ20255th
New Zealand,24 Jun 2025,Dumpster Dive – Laws of Aviation,Dumpster Dive #13: Birdwatching,Commoner,Puffin,not informed,https://fabtcg.com/decklists/dumpster-dive-laws-of-aviation/ ,tc,19c428d2b1f4ae317bedcb9759974331_DD–LoAviation
United States of America,24 Jun 2025,"Dumpster Dive – Whenever, Wherever",Dumpster Dive #13: Birdwatching,Commoner,Nuu,not informed,https://fabtcg.com/decklists/dumpster-dive-whenever-wherever/ ,tc,a47b80cde9ecd7f84c606b5913e0e635_DD–WWherever
United States of America,24 Jun 2025,Dumpster Dive – Dang,Dumpster Dive #13: Birdwatching,Commoner,Dorinthea,not informed,https://fabtcg.com/decklists/dumpster-dive-dang/ ,tc,8627ed1ee9cee9058e32e75c0ea44562_DD–Dang
Brunei,22 Jun 2025,Fadhil Majid – Dash I/O – National Championship 2025 – Brunei,Brunei National Championship 2025,Classic Constructed,Dash I/O,1st,https://fabtcg.com/decklists/fadhil-majid-dash-io-brunei-national-championship/ ,national,908f528bafd70c2f7e877a5539dae16a_FM–DI–NC2–Brunei1st
Canada,22 Jun 2025,"Jordan Jalbert-Ross – Cindra, Dracai of Retribution – National Championship 2025 – Canada",Canada National Championship 2025,Classic Constructed,"Cindra, Dracai of Retribution",1st,https://fabtcg.com/decklists/jordan-jalbert-ross-cindra-dracai-of-retribution-canada-national-championship/ ,national,c6557575e41ab6eae29274c7ca262b03_JJ–CDoR–NC2–Canada1st
Czechia,22 Jun 2025,"Jakub Kouřil – Prism, Awakener of Sol – National Championship 2025 – Czechia",Czechia National Championship 2025,Classic Constructed,"Prism, Awakener of Sol",1st,https://fabtcg.com/decklists/jakub-kouril-prism-awakener-of-sol-czechia-national-championship/ ,national,b83818000631691f1c7284af81fc25eb_JK–PAoS–NC2–Czechia1st
Denmark,22 Jun 2025,"Kinga Piper Balázs – Cindra, Dracai of Retribution – National Championship 2025 – Denmark",Denmark National Championship 2025,Classic Constructed,"Cindra, Dracai of Retribution",1st,https://fabtcg.com/decklists/kinga-piper-balazs-cindra-dracai-of-retribution-denmark-national-championship/ ,national,72e28fcd38f14ea1b76c4642b0b7883b_KPB–CDoR–NC2–Denmark1st
Germany,22 Jun 2025,"Sebastian Kleiner – Arakni, 5L!p3d 7hRu 7h3 cR4X – National Championship 2025 – Germany: Main Event",Germany National Championship 2025,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",1st,https://fabtcg.com/decklists/sebastian-kleiner-arakni-5lp3d-7hru-7h3-cr4x-germany-national-championship/ ,national,711a1af5f945687d340e963b42788dfc_SK–A577c–NC2–GMEvent1st
Iceland,22 Jun 2025,"Ásgeir Jóhannesson – Azalea, Ace in the Hole – National Championship 2025 – Iceland",Iceland National Championship 2025,Classic Constructed,"Azalea, Ace in the Hole",1st,https://fabtcg.com/decklists/asgeir-johannesson-azalea-ace-in-the-hole-iceland-national-championship/ ,national,7746abc3d1b37a3efa6cbc4998064b1a_ÁJ–AAitH–NC2–Iceland1st
Romania,22 Jun 2025,"Szabolcs Egri – Arakni, Marionette – National Championship 2025 – Romania",Romania National Championship 2025,Classic Constructed,"Arakni, Marionette",1st,https://fabtcg.com/decklists/szabolcs-egri-arakni-marionette-romania-national-championship/ ,national,4d9dc816957c503a671c4973f602ecd2_SE–AM–NC2–Romania1st
Slovenia,22 Jun 2025,"Marko Leben – Gravy Bones, Shipwrecked Looter – National Championship 2025 – Slovenia",Slovenia National Championship 2025,Classic Constructed,"Gravy Bones, Shipwrecked Looter",1st,https://fabtcg.com/decklists/marko-leben-gravy-bones-shipwrecked-looter-slovenia-national-championship/ ,national,0a2cd07403cd9a42b2aee0d7761e6d3e_ML–GBSL–NC2–Slovenia1st
Switzerland,22 Jun 2025,"Tigran Grigorian – Cindra, Dracai of Retribution – National Championship 2025 – Switzerland",Switzerland National Championship 2025,Classic Constructed,"Cindra, Dracai of Retribution",1st,https://fabtcg.com/decklists/tigran-grigorian-cindra-dracai-of-retribution-switzerland-national-championship/ ,national,ff2538d1dc891a83f5f2060d90bef375_TG–CDoR–NC2–Switzerland1st
Taiwan,22 Jun 2025,"Oh Oh – Verdance, Thorn of the Rose – National Championship 2025 – Taiwan",Taiwan National Championship 2025,Classic Constructed,"Verdance, Thorn of the Rose",1st,https://fabtcg.com/decklists/oh-oh-verdance-thorn-of-the-rose-taiwan-national-championship/ ,national,414251ac513eb9fefea4ef0fa87298d6_OO–VTotR–NC2–Taiwan1st
Thailand,22 Jun 2025,"Wiroon Juesathainrat – Cindra, Dracai of Retribution – National Championship 2025 – Thailand",Thailand National Championship 2025,Classic Constructed,"Cindra, Dracai of Retribution",1st,https://fabtcg.com/decklists/wiroon-juesathainrat-cindra-dracai-of-retribution-thailand-national-championship/ ,national,6706c5ac8ee25fb56b6cbeee57f6adf3_WJ–CDoR–NC2–Thailand1st
Italy,14 Jun 2025,"Tommaso Viscido – Nuu, Alluring Desire – Calling: Bologna 2025",Calling: Bologna,Classic Constructed,"Nuu, Alluring Desire",1st,https://fabtcg.com/decklists/tommaso-viscido-nuu-alluring-desire-calling-bologna/ ,calling,31397e192f54b135cfc0d15bc098ec9b_TV–NAD–CB20251st
Poland,14 Jun 2025,"Filip Mikołajczyk – Cindra, Dracai of Retribution – Calling: Bologna 2025",Calling: Bologna,Classic Constructed,"Cindra, Dracai of Retribution",2nd,https://fabtcg.com/decklists/filip-mikolajczyk-cindra-dracai-of-retribution-calling-bologna/ ,calling,5ea7d670186b31979bba8250ecc95886_FM–CDoR–CB20252nd
Italy,14 Jun 2025,"Stefano Meoni – Azalea, Ace in the Hole – Calling: Bologna 2025",Calling: Bologna,Classic Constructed,"Azalea, Ace in the Hole",3rd,https://fabtcg.com/decklists/stefano-meoni-azalea-ace-in-the-hole-calling-bologna/ ,calling,4775fe8887e2eda338564a7815bd94c0_SM–AAitH–CB20253rd
Slovenia,14 Jun 2025,"Marko Leben – Gravy Bones, Shipwrecked Looter – Calling: Bologna 2025",Calling: Bologna,Classic Constructed,"Gravy Bones, Shipwrecked Looter",3rd,https://fabtcg.com/decklists/marko-leben-gravy-bones-shipwrecked-looter-calling-bologna/ ,calling,b07e98256994e30a3c542ad8c170548c_ML–GBSL–CB20253rd
Greece,14 Jun 2025,"Axilleas Siskopoulos – Vynnset, Iron Maiden – Calling: Bologna 2025",Calling: Bologna,Classic Constructed,"Vynnset, Iron Maiden",5th,https://fabtcg.com/decklists/axilleas-siskopoulos-vynnset-iron-maiden-calling-bologna/ ,calling,f48bb915338897cfcbfc8960cb0d2577_AS–VIM–CB20255th
Italy,14 Jun 2025,"Federico Lami – Vynnset, Iron Maiden – Calling: Bologna 2025",Calling: Bologna,Classic Constructed,"Vynnset, Iron Maiden",5th,https://fabtcg.com/decklists/federico-lami-vynnset-iron-maiden-calling-bologna/ ,calling,c87238d864c40a84e271f3d705b4f375_FL–VIM–CB20255th
Romania,14 Jun 2025,"Bota Claudiu – Prism, Awakener of Sol – Calling: Bologna 2025",Calling: Bologna,Classic Constructed,"Prism, Awakener of Sol",5th,https://fabtcg.com/decklists/bota-claudiu-prism-awakener-of-sol-calling-bologna/ ,calling,ac0cc5bb0e4f39a3fcc90da2c2d2f637_BC–PAoS–CB20255th
Greece,14 Jun 2025,"Yorgos Samaras – Cindra, Dracai of Retribution – Calling: Bologna 2025",Calling: Bologna,Classic Constructed,"Cindra, Dracai of Retribution",5th,https://fabtcg.com/decklists/yorgos-samaras-cindra-dracai-of-retribution-calling-bologna/ ,calling,782ec96366ad15472c99702ae1768730_YS–CDoR–CB20255th
Spain,12 Jun 2025,"Pablo Pintor – Marlynn, Treasure Hunter – Zero to Eighty",Zero to Eighty: Marlynn,Classic Constructed,"Marlynn, Treasure Hunter",not informed,https://fabtcg.com/decklists/pablo-pintor-marlynn-treasure-hunter-zero-to-eighty/ ,zero to eighty,ba39854ea20f5619ed36546de608f6f8_PP–MTH–ZtEighty
Australia,11 Jun 2025,"Sam Sutherland – Puffin, Hightail – Zero to Eighty",Zero to Eighty: Puffin,Classic Constructed,"Puffin, Hightail",not informed,https://fabtcg.com/decklists/sam-sutherland-puffin-hightail-zero-to-eighty/ ,zero to eighty,16cd64c427a26358e32f10320aa34ca9_SS–PH–ZtEighty
Canada,10 Jun 2025,"Yuki Lee Bender – Gravy Bones, Shipwrecked Looter – Zero to Eighty",Zero to Eighty: Gravy Bones,Classic Constructed,"Gravy Bones, Shipwrecked Looter",not informed,https://fabtcg.com/decklists/yuki-lee-bender-gravy-bones-shipwrecked-looter-zero-to-eighty/ ,zero to eighty,64e6c8ca0c5fd22256c75a92496024cf_YLB–GBSL–ZtEighty
United States of America,08 Jun 2025,"Brodie Spurlock – Gravy Bones, Shipwrecked Looter – Battle Hardened: Las Vegas 2025",Battle Hardened: Las Vegas,Classic Constructed,"Gravy Bones, Shipwrecked Looter",1st,https://fabtcg.com/decklists/brodie-spurlock-gravy-bones-shipwrecked-looter-battle-hardened-las-vegas/ ,battle hardened,e3855c8587b6476c706e45085e69b3b4_BS–GBSL–BHLV20251st
United States of America,08 Jun 2025,"Michael Hamilton – Nuu, Alluring Desire – Battle Hardened: Las Vegas 2025",Battle Hardened: Las Vegas,Classic Constructed,"Nuu, Alluring Desire",2nd,https://fabtcg.com/decklists/michael-hamilton-nuu-alluring-desire-battle-hardened-las-vegas/ ,battle hardened,82e7fbf1c613c2b730f2f685fe5f8d6a_MH–NAD–BHLV20252nd
United States of America,08 Jun 2025,"Daniel Ferrara – Florian, Rotwood Harbinger – Battle Hardened: Las Vegas 2025",Battle Hardened: Las Vegas,Classic Constructed,"Florian, Rotwood Harbinger",3rd,https://fabtcg.com/decklists/daniel-ferrara-florian-rotwood-harbinger-battle-hardened-las-vegas/ ,battle hardened,1abeada22b10fc8e159aebe119d39748_DF–FRH–BHLV20253rd
United States of America,08 Jun 2025,"Bryce Morgan – Kano, Dracai of Aether – Battle Hardened: Las Vegas 2025",Battle Hardened: Las Vegas,Classic Constructed,"Kano, Dracai of Aether",3rd,https://fabtcg.com/decklists/bryce-morgan-kano-dracai-of-aether-battle-hardened-las-vegas/ ,battle hardened,568e1ed8e693008c4d8367fcf8cec825_BM–KDoA–BHLV20253rd
United States of America,08 Jun 2025,"Melora Cayce – Nuu, Alluring Desire – Battle Hardened: Las Vegas 2025",Battle Hardened: Las Vegas,Classic Constructed,"Nuu, Alluring Desire",5th,https://fabtcg.com/decklists/melora-cayce-nuu-alluring-desire-battle-hardened-las-vegas/ ,battle hardened,d47b11773aa4102445efaa78468a5403_MC–NAD–BHLV20255th
United States of America,08 Jun 2025,"Christopher Little – Victor Goldmane, High and Mighty – Battle Hardened: Las Vegas 2025",Battle Hardened: Las Vegas,Classic Constructed,"Victor Goldmane, High and Mighty",5th,https://fabtcg.com/decklists/christopher-little-victor-goldmane-high-and-mighty-battle-hardened-las-vegas/ ,battle hardened,6b1cd37750716f4f4270e96098e90b9d_CL–VGHaM–BHLV20255th
United States of America,08 Jun 2025,"Jeff Stamm – Riptide, Lurker of the Deep – Battle Hardened: Las Vegas 2025",Battle Hardened: Las Vegas,Classic Constructed,"Riptide, Lurker of the Deep",5th,https://fabtcg.com/decklists/jeff-stamm-riptide-lurker-of-the-deep-battle-hardened-las-vegas/ ,battle hardened,1c7d720e7d3337127ad94aa9bde5abc8_JS–RLotD–BHLV20255th
United States of America,08 Jun 2025,"Peter Buddensiek – Gravy Bones, Shipwrecked Looter – Battle Hardened: Las Vegas 2025",Battle Hardened: Las Vegas,Classic Constructed,"Gravy Bones, Shipwrecked Looter",5th,https://fabtcg.com/decklists/peter-buddensiek-gravy-bones-shipwrecked-looter-battle-hardened-las-vegas/ ,battle hardened,62163b6b92fc05334c041442d26a6d5e_PB–GBSL–BHLV20255th
United States of America,06 Jun 2025,"Majin Bae – Verdance, Thorn of the Rose – US National Championship 2025",United States National Championship,Classic Constructed,"Verdance, Thorn of the Rose",1st,https://fabtcg.com/decklists/majin-bae-verdance-thorn-of-the-rose-us-national-championship-2025/ ,national,0b06f2f94a1d5398de5ca5fc2d7dfa7d_MB–VTotR–UNC20251st
United States of America,06 Jun 2025,"Jacob Shaker – Gravy Bones, Shipwrecked Looter – US National Championship 2025",United States National Championship,Classic Constructed,"Gravy Bones, Shipwrecked Looter",2nd,https://fabtcg.com/decklists/jacob-shaker-gravy-bones-shipwrecked-looter-us-national-championship-2025/ ,national,6574d144296cb2d88f7891353105aaec_JS–GBSL–UNC20252nd
United States of America,06 Jun 2025,"Bird Cabrera – Nuu, Alluring Desire – US National Championship 2025",United States National Championship,Classic Constructed,"Nuu, Alluring Desire",3rd,https://fabtcg.com/decklists/bird-cabrera-nuu-alluring-desire-us-national-championship-2025/ ,national,1d897091ac7a903d39923db6f0566007_BC–NAD–UNC20253rd
United States of America,06 Jun 2025,"Jacob Lantz – Azalea, Ace in the Hole – US National Championship 2025",United States National Championship,Classic Constructed,"Azalea, Ace in the Hole",3rd,https://fabtcg.com/decklists/jacob-lantz-azalea-ace-in-the-hole-us-national-championship-2025/ ,national,7e45012093996474c5426af37f5fe6ce_JL–AAitH–UNC20253rd
